Zip Code,Location,Population,People / Sq. Mile
60626,"42.009340, -87.669902","59,251","34,520.21"
60660,"41.990561, -87.664706","47,726","34,193.05"
60640,"41.972347, -87.663982","74,030","32,103.29"
60657,"41.938964, -87.656811","66,789","31,204.02"
60610,"41.900034, -87.636967","47,513","30,110.68"
60613,"41.958302, -87.660698","50,548","25,857.54"
60647,"41.921117, -87.701899","98,769","25,372.11"
60625,"41.973081, -87.699751","91,351","23,681.91"
60614,"41.922667, -87.652537","65,474","20,838.01"
60651,"41.902029, -87.740432","77,583","20,738.60"
60659,"41.991923, -87.704608","39,155","19,859.02"
60639,"41.920639, -87.755793","92,951","19,854.06"
60618,"41.946755, -87.702861","98,147","19,640.92"
60623,"41.847079, -87.719446","108,144","19,007.22"
60615,"41.801502, -87.603332","45,096","18,936.31"
60645,"42.008406, -87.695793","44,197","18,576.05"
60641,"41.946466, -87.746971","73,824","18,163.14"
60649,"41.763484, -87.570411","54,823","17,870.96"
60611,"41.893024, -87.618998","26,522","17,783.87"
60622,"41.901894, -87.672630","76,015","17,489.00"
60601,"41.885805, -87.622911","5,591","17,101.15"
60644,"41.880614, -87.756903","59,059","16,705.95"
60653,"41.819722, -87.611809","34,502","15,629.38"
60661,"41.882458, -87.643946","4,382","15,455.28"
60301,"41.888528, -87.797803","2,158","15,443.60"
60629,"41.774690, -87.714185","113,984","15,212.28"
60608,"41.848647, -87.672320","92,472","14,180.66"
60165,"41.903190, -87.880264","5,171","14,093.73"
60616,"41.844977, -87.629846","47,073","13,948.12"
60636,"41.775708, -87.669011","51,451","13,581.48"
60624,"41.880048, -87.722352","45,647","13,574.16"
60804,"41.842221, -87.758465","86,133","13,070.16"
60637,"41.780673, -87.603500","57,090","13,045.69"
60621,"41.776404, -87.640058","47,514","12,891.83"
60632,"41.810213, -87.711761","87,577","12,507.78"
60619,"41.743383, -87.605811","74,963","11,991.80"
60304,"41.872502, -87.789298","17,839","11,477.99"
60620,"41.740481, -87.653749","85,771","11,439.03"
60707,"41.921792, -87.807947","42,621","11,251.70"
60630,"41.972071, -87.756569","54,781","11,213.53"
60302,"41.894702, -87.789897","32,527","10,828.29"
60634,"41.946189, -87.806117","74,164","10,611.96"
60202,"42.030428, -87.689609","32,208","10,404.30"
60609,"41.812680, -87.656935","79,469","10,286.83"
60612,"41.880500, -87.687967","37,990","10,195.72"
60402,"41.831650, -87.790639","60,373","9,548.05"
60153,"41.879902, -87.843656","26,863","9,528.69"
60201,"42.056424, -87.696751","41,977","8,865.38"
60652,"41.746234, -87.711953","39,126","8,425.81"
60104,"41.882742, -87.876519","20,571","8,377.72"
60628,"41.692200, -87.617859","87,827","8,286.36"
60456,"41.730548, -87.731295","4,452","8,188.40"
60643,"41.696894, -87.661375","52,568","7,845.03"
60631,"41.994948, -87.813225","28,832","7,754.38"
60040,"42.207459, -87.814455","5,645","7,640.01"
60656,"41.973544, -87.830234","27,129","7,590.96"
60706,"41.963820, -87.816767","22,809","7,449.59"
61606,"40.699744, -89.611257","9,674","7,247.72"
60617,"41.718172, -87.555846","96,288","7,168.75"
60203,"42.048983, -87.718039","4,691","7,068.42"
60655,"41.694722, -87.703687","29,138","6,541.10"
60453,"41.713426, -87.753165","54,499","6,526.01"
60077,"42.034520, -87.757210","25,040","6,477.42"
60076,"42.036889, -87.731145","34,263","6,430.66"
60607,"41.874503, -87.651322","15,552","6,428.11"
60415,"41.703381, -87.780612","14,039","6,419.85"
60606,"41.881988, -87.637329","1,682","6,140.44"
60605,"41.857651, -87.615592","12,423","6,027.29"
60139,"41.918877, -88.078095","32,303","5,949.85"
60805,"41.722366, -87.701809","20,821","5,893.88"
60459,"41.745449, -87.769853","27,978","5,835.43"
