Id,Id2,Target Geo Id,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US17031,17031,0600000US1703103831,Barrington township,15636,5885,36.02,1.17,34.84,448.7,168.9
0500000US17031,17031,0700000US170310383103844,Barrington village (part),4541,1960,1.75,0.06,1.69,2679.3,1156.4
0500000US17031,17031,0700000US170310383103883,Barrington Hills village (part),2168,852,17.9,0.53,17.37,124.8,49.1
0500000US17031,17031,0700000US170310383121696,East Dundee village (part),0,0,0.15,0,0.15,0,0
0500000US17031,17031,0700000US170310383135411,Hoffman Estates village (part),2182,729,3.76,0.05,3.71,588.1,196.5
0500000US17031,17031,0700000US170310383137608,Inverness village (part),1688,655,1.36,0.09,1.27,1327,514.9
0500000US17031,17031,0700000US170310383170564,South Barrington village (part),4444,1475,7.28,0.28,7,634.8,210.7
0500000US17031,17031,0700000US170310383199999,Remainder of Barrington township,613,214,3.82,0.17,3.65,167.9,58.6
0500000US17031,17031,0600000US1703105586,Berwyn township,56657,20719,3.91,0,3.91,14508.8,5305.8
0500000US17031,17031,0700000US170310558605573,Berwyn city,56657,20719,3.91,0,3.91,14508.8,5305.8
0500000US17031,17031,0600000US1703106561,Bloom township,90922,34427,46.73,0.28,46.45,1957.5,741.2
0500000US17031,17031,0700000US170310656114026,Chicago Heights city,30276,11060,10.09,0.01,10.07,3005.1,1097.8
0500000US17031,17031,0700000US170310656117523,Crete village (part),0,0,0.01,0,0.01,0,0
0500000US17031,17031,0700000US170310656126571,Flossmoor village (part),2205,854,0.9,0,0.9,2460.3,952.9
0500000US17031,17031,0700000US170310656126710,Ford Heights village,2763,859,1.95,0,1.95,1419.5,441.3
0500000US17031,17031,0700000US170310656130029,Glenwood village (part),8103,3043,3.01,0,3.01,2691.6,1010.8
0500000US17031,17031,0700000US170310656135879,Homewood village (part),8624,3288,1.69,0.01,1.69,5106.7,1947
0500000US17031,17031,0700000US170310656142028,Lansing village (part),5406,2134,1.45,0.03,1.42,3815.7,1506.2
0500000US17031,17031,0700000US170310656145421,Lynwood village,9007,3473,5.54,0.08,5.47,1648.1,635.5
0500000US17031,17031,0700000US170310656155938,Olympia Fields village (part),517,210,0.3,0,0.3,1722.4,699.6
0500000US17031,17031,0700000US170310656157732,Park Forest village (part),3336,1665,0.47,0,0.47,7029.2,3508.3
0500000US17031,17031,0700000US170310656167769,Sauk Village village (part),10506,3685,3.86,0.04,3.82,2749.2,964.3
0500000US17031,17031,0700000US170310656170629,South Chicago Heights village,4139,1657,1.6,0.02,1.58,2618.1,1048.1
0500000US17031,17031,0700000US170310656172520,Steger village (part),4103,1645,2.33,0,2.33,1759,705.2
0500000US17031,17031,0700000US170310656199999,Remainder of Bloom township,1937,854,13.52,0.09,13.43,144.2,63.6
0500000US17031,17031,0600000US1703107939,Bremen township,110118,42561,37.84,0.11,37.73,2918.6,1128
0500000US17031,17031,0700000US170310793906704,Blue Island city (part),1447,475,0.62,0,0.62,2319.6,761.4
0500000US17031,17031,0700000US170310793916691,Country Club Hills city (part),9491,3419,3.23,0,3.23,2938.3,1058.5
0500000US17031,17031,0700000US170310793917497,Crestwood village (part),6477,3028,1.85,0,1.85,3502.1,1637.2
0500000US17031,17031,0700000US170310793933383,Harvey city (part),2031,609,0.45,0,0.45,4558.6,1366.9
0500000US17031,17031,0700000US170310793933695,Hazel Crest village (part),9390,3572,2.49,0.01,2.48,3785.8,1440.1
0500000US17031,17031,0700000US170310793935879,Homewood village (part),2177,798,0.66,0,0.65,3332.6,1221.6
0500000US17031,17031,0700000US170310793947007,Markham city (part),8656,3012,4.35,0,4.35,1991.7,693.1
0500000US17031,17031,0700000US170310793948892,Midlothian village,14819,5501,2.82,0,2.82,5256.4,1951.2
0500000US17031,17031,0700000US170310793954638,Oak Forest city,27962,10672,6,0.05,5.95,4698.3,1793.2
0500000US17031,17031,0700000US170310793956640,Orland Park village (part),26,14,0.19,0,0.19,135.7,73.1
0500000US17031,17031,0700000US170310793961314,Posen village (part),5536,1748,1.08,0,1.08,5105.7,1612.1
0500000US17031,17031,0700000US170310793964616,Robbins village (part),4042,1622,1.1,0,1.1,3668.5,1472.1
0500000US17031,17031,0700000US170310793975484,Tinley Park village (part),16027,7337,3.64,0,3.64,4400.4,2014.5
0500000US17031,17031,0700000US170310793999999,Remainder of Bremen township,2037,754,9.36,0.05,9.31,218.8,81
0500000US17031,17031,0600000US1703110474,Calumet township,20777,8240,4.67,0.27,4.4,4727.1,1874.8
0500000US17031,17031,0700000US170311047406704,Blue Island city (part),10522,4108,1.59,0.06,1.53,6863,2679.4
0500000US17031,17031,0700000US170311047410513,Calumet Park village,7835,3203,1.15,0.04,1.11,7043.4,2879.4
0500000US17031,17031,0700000US170311047464278,Riverdale village (part),2341,857,1.58,0.17,1.4,1667.6,610.5
0500000US17031,17031,0700000US170311047499999,Remainder of Calumet township,79,72,0.35,0,0.35,228.4,208.1
0500000US17031,17031,0600000US1703114000,Chicago city,2695598,1194337,231.84,6.45,225.39,11959.7,5299
0500000US17031,17031,0700000US170311400014000,Chicago city (part),2695598,1194337,231.84,6.45,225.39,11959.7,5299
0500000US17031,17031,0600000US1703114364,Cicero township,83891,24329,5.86,0,5.86,14304.8,4148.5
0500000US17031,17031,0700000US170311436414351,Cicero town,83891,24329,5.86,0,5.86,14304.8,4148.5
0500000US17031,17031,0600000US1703123243,Elk Grove township,92905,39264,27.98,0.41,27.57,3369.6,1424.1
0500000US17031,17031,0700000US170312324302154,Arlington Heights village (part),13291,6405,2.76,0,2.76,4816.5,2321.1
0500000US17031,17031,0700000US170312324319642,Des Plaines city (part),11888,4853,2.61,0.01,2.6,4574,1867.2
0500000US17031,17031,0700000US170312324323256,Elk Grove Village village (part),22104,9905,8.42,0.05,8.37,2641.7,1183.8
0500000US17031,17031,0700000US170312324351089,Mount Prospect village (part),32069,13179,5.17,0.03,5.14,6244,2566
0500000US17031,17031,0700000US170312324365338,Rolling Meadows city (part),7354,2828,1.6,0,1.6,4603.8,1770.4
0500000US17031,17031,0700000US170312324368003,Schaumburg village (part),0,0,0.21,0,0.21,0,0
0500000US17031,17031,0700000US170312324399999,Remainder of Elk Grove township,6199,2094,7.21,0.31,6.9,898.5,303.5
0500000US17031,17031,0600000US1703124595,Evanston township,74486,33181,7.8,0.02,7.78,9575,4265.4
0500000US17031,17031,0700000US170312459524582,Evanston city,74486,33181,7.8,0.02,7.78,9575,4265.4
0500000US17031,17031,0600000US1703132694,Hanover township,99538,34415,33.66,0.3,33.36,2983.6,1031.6
0500000US17031,17031,0700000US170313269404013,Bartlett village (part),16797,6454,5.37,0.05,5.32,3157.8,1213.3
0500000US17031,17031,0700000US170313269423074,Elgin city (part),24032,8301,6.38,0.18,6.2,3873,1337.8
0500000US17031,17031,0700000US170313269432746,Hanover Park village (part),10744,2767,1.27,0,1.27,8483.4,2184.8
0500000US17031,17031,0700000US170313269435411,Hoffman Estates village (part),5061,1732,6.63,0.03,6.6,767.3,262.6
