STATION,NAME,DATE,PRCP,SNOW,SNWD
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/01/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/02/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/03/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/04/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/05/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/06/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/07/11,0.02,0.6,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/08/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/09/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/10/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/11/11,0.31,5.9,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/12/11,0,0,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/13/11,0,0,3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/14/11,0.01,0.1,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/15/11,0,0,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/16/11,0,0,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/17/11,0.31,0.9,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/18/11,0.1,0.3,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/19/11,0,0,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/20/11,0,0,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/21/11,0,0,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/22/11,0.01,0.7,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/23/11,0.01,0.3,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/24/11,0.03,0.5,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/25/11,0,0,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/26/11,0,0.2,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/27/11,0.03,0.6,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/28/11,0,0,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/29/11,0,0,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/30/11,0,0,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/31/11,0.09,1,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/01/11,0.74,13.6,3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/02/11,0.74,6.6,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/03/11,0,0,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/04/11,0,0,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/05/11,0,0,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/06/11,0.2,2.6,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/07/11,0.13,3.2,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/08/11,0,0.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/09/11,0,0,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/10/11,0,0,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/11/11,0,0,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/12/11,0,0,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/13/11,0,0,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/14/11,0,0,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/15/11,0,0,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/16/11,0,0,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/17/11,0,0,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/18/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/19/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/20/11,0.95,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/21/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/22/11,0.03,0.6,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/23/11,0.11,0.3,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/24/11,0,0,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/25/11,0.11,0.7,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/26/11,0.12,1.3,1
